name,birthday,single,date,age,selected,row,kanbaibusuu,preparebusuu,speed,kanbai,rest,1st,belong,shodou
manatsu,1993/8/20,1,2012/2/22,18,.,.,.,.,.,.,1,1,1,136309
manatsu,1993/8/20,2,2012/5/2,18,.,.,.,.,.,.,1,1,1,155677
manatsu,1993/8/20,3,2012/8/22,19,.,.,.,.,.,.,1,1,1,186613
manatsu,1993/8/20,4,2012/12/19,19,1,2,7,11,0,0,0,1,1,232961
manatsu,1993/8/20,5,2013/3/13,19,1,2,8,18,0,0,0,1,1,242053
manatsu,1993/8/20,6,2013/7/3,19,1,3,28,28,11,1,0,1,1,337138
manatsu,1993/8/20,7,2013/11/27,20,1,3,30,30,6,1,0,1,1,395127
manatsu,1993/8/20,8,2014/4/2,20,1,3,30,30,5,1,0,1,1,457837
manatsu,1993/8/20,9,2014/7/9,20,1,2,30,30,7,1,0,1,1,421622
manatsu,1993/8/20,10,2014/10/8,21,1,2,35,35,11,1,0,1,1,478788
manatsu,1993/8/20,11,2015/3/18,21,1,2,30,30,6,1,0,1,1,500297
manatsu,1993/8/20,12,2015/7/22,21,1,2,30,30,4,1,0,1,1,609202
manatsu,1993/8/20,13,2015/10/28,22,1,2,30,30,5,1,0,1,1,626905
manatsu,1993/8/20,14,2016/3/23,22,1,2,30,30,4,1,0,1,1,749706
manatsu,1993/8/20,15,2016/7/27,22,1,2,30,30,2,1,0,1,1,728189
manatsu,1993/8/20,16,2016/11/9,23,1,2,30,30,4,1,0,1,1,827717
erika,1997/1/22,1,2012/2/22,15,1,1,.,.,.,.,0,1,1,136309
erika,1997/1/22,2,2012/5/2,15,1,3,.,.,.,.,0,1,1,155677
erika,1997/1/22,3,2012/8/22,15,1,1,9,18,0,0,0,1,1,186613
erika,1997/1/22,4,2012/12/19,15,1,1,12,20,0,0,0,1,1,232961
erika,1997/1/22,5,2013/3/13,16,1,1,8,23,0,0,0,1,1,242053
erika,1997/1/22,6,2013/7/3,16,1,2,25,28,0,0,0,1,1,337138
erika,1997/1/22,7,2013/11/27,16,1,2,25,28,0,0,0,1,1,395127
erika,1997/1/22,8,2014/4/2,17,1,2,21,25,0,0,0,1,1,457837
erika,1997/1/22,9,2014/7/9,17,1,.,.,.,.,.,1,1,1,421622
erika,1997/1/22,10,2014/10/8,17,1,1,30,30,9,1,0,1,1,478788
erika,1997/1/22,11,2015/3/18,18,1,1,30,30,11,1,0,1,1,500297
erika,1997/1/22,12,2015/7/22,18,1,1,30,30,7,1,0,1,1,609202
erika,1997/1/22,13,2015/10/28,18,1,2,30,30,5,1,0,1,1,626905
erika,1997/1/22,14,2016/3/23,19,1,1,30,30,3,1,0,1,1,749706
erika,1997/1/22,15,2016/7/27,19,1,1,30,30,2,1,0,1,1,728189
erika,1997/1/22,16,2016/11/9,19,1,1,20,20,4,1,0,1,1,827717
rina,1995/12/29,1,2012/2/22,16,1,1,.,.,.,.,0,1,1,136309
rina,1995/12/29,2,2012/5/2,16,1,1,.,.,.,.,0,1,1,155677
rina,1995/12/29,3,2012/8/22,16,1,1,10,18,0,0,0,1,1,186613
rina,1995/12/29,4,2012/12/19,16,1,1,3,23,0,0,0,1,1,232961
rina,1995/12/29,5,2013/3/13,17,1,1,5,23,0,0,0,1,1,242053
rina,1995/12/29,6,2013/7/3,17,1,2,5,28,0,0,0,1,1,337138
rina,1995/12/29,7,2013/11/27,17,1,2,19,28,0,0,0,1,1,395127
rina,1995/12/29,8,2014/4/2,18,1,1,7,30,0,0,0,1,1,457837
rina,1995/12/29,9,2014/7/9,18,1,2,4,29,0,0,0,1,1,421622
rina,1995/12/29,10,2014/10/8,18,1,2,4,29,0,0,0,1,1,478788
rina,1995/12/29,11,2015/3/18,19,1,2,4,22,0,0,0,1,1,500297
rina,1995/12/29,12,2015/7/22,19,1,1,14,22,0,0,0,1,1,609202
rina,1995/12/29,13,2015/10/28,19,1,3,17,19,0,0,0,1,1,626905
rina,1995/12/29,14,2016/3/23,20,1,3,18,18,11,1,0,1,1,749706
rina,1995/12/29,15,2016/7/27,20,1,3,18,18,12,1,0,1,1,728189
rina,1995/12/29,16,2016/11/9,20,1,3,28,28,8,1,0,1,1,827717
marika,1996/2/20,1,2012/2/22,16,0,1,.,.,.,.,0,1,1,136309
marika,1996/2/20,2,2012/5/2,16,0,1,.,.,.,.,0,1,1,155677
marika,1996/2/20,3,2012/8/22,16,1,3,0,10,0,0,0,1,1,186613
marika,1996/2/20,4,2012/12/19,16,0,2,4,13,0,0,0,1,1,232961
marika,1996/2/20,5,2013/3/13,17,0,1,1,13,0,0,0,1,1,242053
marika,1996/2/20,6,2013/7/3,17,1,3,7,14,0,0,0,1,1,337138
marika,1996/2/20,7,2013/11/27,17,1,3,9,19,0,0,0,1,1,395127
marika,1996/2/20,8,2014/4/2,18,0,1,8,21,0,0,0,1,1,457837
marika,1996/2/20,9,2014/7/9,18,0,1,6,22,0,0,0,1,1,421622
marika,1996/2/20,10,2014/10/8,18,0,1,11,33,0,0,0,1,1,478788
marika,1996/2/20,11,2015/3/18,19,1,3,15,28,0,0,0,1,1,500297
marika,1996/2/20,12,2015/7/22,19,1,3,25,29,0,0,0,1,1,609202
marika,1996/2/20,13,2015/10/28,19,1,3,30,30,11,1,0,1,1,626905
marika,1996/2/20,14,2016/3/23,20,1,3,30,30,10,1,0,1,1,749706
marika,1996/2/20,15,2016/7/27,20,0,1,30,30,9,1,0,1,1,728189
marika,1996/2/20,16,2016/11/9,20,1,3,30,30,5,1,0,1,1,827717
sayuri,1994/12/14,1,2012/2/22,17,1,3,.,.,.,.,0,1,1,136309
sayuri,1994/12/14,2,2012/5/2,17,1,3,.,.,.,.,0,1,1,155677
sayuri,1994/12/14,3,2012/8/22,17,1,3,1,16,0,0,0,1,1,186613
sayuri,1994/12/14,4,2012/12/19,18,1,3,2,19,0,0,0,1,1,232961
sayuri,1994/12/14,5,2013/3/13,18,1,3,1,18,0,0,0,1,1,242053
sayuri,1994/12/14,6,2013/7/3,18,1,3,8,21,0,0,0,1,1,337138
sayuri,1994/12/14,7,2013/11/27,18,0,1,14,20,0,0,0,1,1,395127
sayuri,1994/12/14,8,2014/4/2,19,0,1,3,26,0,0,0,1,1,457837
sayuri,1994/12/14,9,2014/7/9,19,1,3,2,26,0,0,0,1,1,421622
sayuri,1994/12/14,10,2014/10/8,19,0,1,2,31,0,0,0,1,1,478788
sayuri,1994/12/14,11,2015/3/18,20,0,1,13,22,0,0,0,1,1,500297
sayuri,1994/12/14,12,2015/7/22,20,1,3,19,19,10,1,0,1,1,609202
sayuri,1994/12/14,13,2015/10/28,20,1,3,25,25,11,1,0,1,1,626905
sayuri,1994/12/14,14,2016/3/23,21,1,3,30,30,12,1,0,1,1,749706
sayuri,1994/12/14,15,2016/7/27,21,0,1,30,30,9,1,0,1,1,728189
sayuri,1994/12/14,16,2016/11/9,21,1,3,30,30,6,1,0,1,1,827717
misa,1993/1/4,1,2012/2/22,19,0,2,.,.,.,.,0,1,1,136309
misa,1993/1/4,2,2012/5/2,19,0,3,.,.,.,.,0,1,1,155677
misa,1993/1/4,3,2012/8/22,19,0,3,8,8,10,1,0,1,1,186613
misa,1993/1/4,4,2012/12/19,19,0,1,5,16,0,0,0,1,1,232961
misa,1993/1/4,5,2013/3/13,20,0,2,1,18,0,0,0,1,1,242053
misa,1993/1/4,6,2013/7/3,20,0,3,7,26,0,0,0,1,1,337138
misa,1993/1/4,7,2013/11/27,20,1,3,26,26,11,1,0,1,1,395127
misa,1993/1/4,8,2014/4/2,21,0,2,29,29,11,1,0,1,1,457837
misa,1993/1/4,9,2014/7/9,21,1,3,30,30,14,1,0,1,1,421622
misa,1993/1/4,10,2014/10/8,21,1,3,30,30,10,1,0,1,1,478788
misa,1993/1/4,11,2015/3/18,22,1,3,30,30,8,1,0,1,1,500297
misa,1993/1/4,12,2015/7/22,22,1,3,30,30,5,1,0,1,1,609202
misa,1993/1/4,13,2015/10/28,22,1,1,30,30,5,1,0,1,1,626905
misa,1993/1/4,14,2016/3/23,23,1,2,30,30,3,1,0,1,1,749706
misa,1993/1/4,15,2016/7/27,23,1,2,30,30,2,1,0,1,1,728189
misa,1993/1/4,16,2016/11/9,23,1,2,30,30,4,1,0,1,1,827717
hina,1998/3/22,1,2012/2/22,13,0,2,.,.,.,.,0,1,1,136309
hina,1998/3/22,2,2012/5/2,14,0,2,.,.,.,.,0,1,1,155677
hina,1998/3/22,3,2012/8/22,14,0,3,0,4,0,0,0,1,1,186613
hina,1998/3/22,4,2012/12/19,14,0,2,0,5,0,0,0,1,1,232961
